NGram,Frequency
"('ports',)",2
"('use',)",2
"('singledigit',)",2
"('attributable',)",2
"('Providence',)",2
"('results',)",2
"('say',)",2
"('upbeat',)",2
"('planning',)",2
"('open',)",2
"('personnel',)",2
"('line',)",2
"('minor',)",2
"('any',)",2
"('mentioned',)",2
"('pushback',)",2
"('2',)",2
"('either',)",2
"('milk',)",2
"('4',)",2
"('single',)",2
"('posted',)",2
"('daily',)",2
"('groups',)",2
"('countries',)",2
"('effects',)",2
"('US',)",2
"('effect',)",2
"('key',)",2
"('fare',)",2
"('Of',)",2
"('For',)",2
"('exceptionally',)",2
"('start',)",2
"('semiconductor',)",2
"('ability',)",2
"('staff',)",2
"('Another',)",2
"('example',)",2
"('discounting',)",2
"('declining',)",2
"('substantial',)",2
"('listings',)",2
"('issued',)",2
"('waiting',)",2
"('Connecticut',)",2
"('if',)",2
"('appeared',)",2
"('numerous',)",2
"('worker',)",2
"('Office',)",2
"('investors',)",2
"('caution',)",2
"('infrastructure',)",2
"('offered',)",2
"('urban',)",2
"('trends',)",2
"('Maine',)",2
"('closed',)",2
"('whole',)",2
"('people',)",2
"('move',)",2
"('provide',)",2
"('relief',)",2
"('Second',)",2
"('surge',)",2
"('education',)",2
"('hand',)",2
"('agencies',)",2
"('medium',)",2
"('sized',)",2
"('noticeably',)",2
"('short',)",2
"('too',)",2
"('couple',)",2
"('Selling',)",2
"('doubledigit',)",2
"('come',)",2
"('Atlantic',)",2
"('climb',)",2
"('sharply',)",2
"('Looking',)",2
"('Citys',)",2
"('apartments',)",2
"('moreover',)",2
"('edge',)",2
"('resale',)",2
"('There',)",2
"('northern',)",2
"('Jersey',)",2
"('pick',)",2
"('strengthen',)",2
"('continues',)",2
"('funds',)",2
"('deposit',)",2
"('Finally',)",2
"('homebuilding',)",2
"('Expectations',)",2
"('worked',)",2
"('nonmanufacturers',)",2
"('annual',)",2
"('range',)",2
"('suggesting',)",2
"('paper',)",2
"('chemicals',)",2
"('expenditures',)",2
"('best',)",2
"('yet',)",2
"('between',)",2
"('prospects',)",2
"('opened',)",2
"('water',)",2
"('Even',)",2
"('finally',)",2
"('analyst',)",2
"('likely',)",2
"('monthly',)",2
"('tempered',)",2
"('card',)",2
"('cautious',)",2
"('backlogs',)",2
"('They',)",2
"('might',)",2
"('dampened',)",2
"('shopping',)",2
"('brick',)",2
"('mortar',)",2
"('believe',)",2
"('cycle',)",2
"('late',)",2
"('trades',)",2
"('technical',)",2
"('5',)",2
"('providers',)",2
"('check',)",2
"('until',)",2
"('transaction',)",2
"('historic',)",2
"('help',)",2
"('slowly',)",2
"('traditional',)",2
"('combined',)",2
"('OEM',)",2
"('Unit',)",2
"('motor',)",2
"('impacts',)",2
"('times',)",2
"('result',)",2
"('seen',)",2
"('segments',)",2
"('Low',)",2
"('sale',)",2
"('helping',)",2
"('pronounced',)",2
"('warehousing',)",2
"('sellers',)",2
"('credits',)",2
"('need',)",2
"('moving',)",2
"('developments',)",2
"('fuel',)",2
"('midyear',)",2
"('activities',)",2
"('usual',)",2
"('positionsPrices',)",2
"('slowdown',)",2
"('marginally',)",2
"('Coal',)",2
"('strength',)",2
"('producer',)",2
"('officials',)",2
"('containers',)",2
"('supplies',)",2
"('imports',)",2
"('falling',)",2
"('Exports',)",2
"('source',)",2
"('establishments',)",2
"('profit',)",2
"('resort',)",2
"('Carolina',)",2
"('Brokers',)",2
"('rural',)",2
"('lender',)",2
"('before',)",2
"('organizations',)",2
"('facilityAgriculture',)",2
"('utility',)",2
"('Firms',)",2
"('skill',)",2
"('training',)",2
"('programs',)",2
"('candidates',)",2
"('commodity',)",2
"('Feds',)",2
"('monthsConsumer',)",2
"('group',)",2
"('Georgia',)",2
"('international',)",2
"('Builders',)",2
"('delivery',)",2
"('nearly',)",2
"('Gulf',)",2
"('Refinery',)",2
"('refiners',)",2
"('generation',)",2
"('wind',)",2
"('beef',)",2
"('occupations',)",2
"('heavy',)",2
"('care',)",2
"('primarily',)",2
"('segment',)",2
"('operations',)",2
"('profits',)",2
"('planting',)",2
"('hog',)",2
"('firstquarter',)",2
"('Little',)",2
"('Rock',)",2
"('Price',)",2
"('share',)",2
"('charged',)",2
"('cash',)",2
"('sorghum',)",2
"('House',)",2
"('halfway',)",2
"('met',)",2
"('projected',)",2
"('toward',)",2
"('wood',)",2
"('citing',)",2
"('fair',)",2
"('condition',)",2
"('land',)",2
"('Ninth',)",2
"('mining',)",2
"('Ad',)",2
"('hoc',)",2
"('Dakotas',)",2
"('western',)",2
"('national',)",2
"('closure',)",2
"('huge',)",2
"('clothing',)",2
"('Twin',)",2
"('Cities',)",2
"('poor',)",2
"('grocers',)",2
"('loss',)",2
"('recreational',)",2
"('metros',)",2
"('million',)",2
"('billion',)",2
"('Mont',)",2
"('maker',)",2
"('drilling',)",2
"('addition',)",2
"('Restaurant',)",2
"('spring',)",2
"('Other',)",2
"('considerable',)",2
"('durable',)",2
"('Professional',)",2
"('completions',)",2
"('Oklahoma',)",2
"('Mexico',)",2
"('Permian',)",2
"('Basin',)",2
"('rapid',)",2
"('cattle',)",2
"('advantage',)",2
"('cities',)",2
"('DFW',)",2
"('Austin',)",2
"('dipped',)",2
"('deliveries',)",2
"('deposits',)",2
"('district',)",2
"('proposed',)",2
"('Cotton',)",2
"('vigorous',)",2
"('immigration',)",2
"('boosted',)",2
"('Shortages',)",2
"('options',)",2
"('California',)",2
"('manufactured',)",2
"('bank',)",1
"('provides',)",1
"('safe',)",1
"('flexible',)",1
"('monetary',)",1
"('system',)",1
"('Open',)",1
"('Committee',)",1
"('Principles',)",1
"('Practice',)",1
"('Implementation',)",1
"('Review',)",1
"('Strategy',)",1
"('Communications',)",1
"('Institution',)",1
"('Reporting',)",1
"('Forms',)",1
"('Regulation',)",1
"('Letters',)",1
"('Applications',)",1
"('Legal',)",1
"('Developments',)",1
"('Regulatory',)",1
"('Statutes',)",1
"('Policies',)",1
"('Utilities',)",1
"('Infrastructures',)",1
"('Committees',)",1
"('Forums',)",1
"('Working',)",1
"('Papers',)",1
"('Notes',)",1
"('Models',)",1
"('Assets',)",1
"('Liabilities',)",1
"('Financing',)",1
"('Terms',)",1
"('Exchange',)",1
"('International',)",1
"('Accounts',)",1
"('Household',)",1
"('Micro',)",1
"('Reference',)",1
"('Manual',)",1
"('MDRM',)",1
"('Money',)",1
"('Stock',)",1
"('Balances',)",1
"('Enforcement',)",1
"('Community',)",1
"('Development',)",1
"('Analysis',)",1
"('instore',)",1
"('internet',)",1
"('characterizing',)",1
"('lesser',)",1
"('degree',)",1
"('reportEmployment',)",1
"('conversions',)",1
"('workersparticularly',)",1
"('workerswere',)",1
"('industriesPrices',)",1
"('Pricing',)",1
"('climbed',)",1
"('aheadBoston',)",1
"('nevertheless',)",1
"('outlookNew',)",1
"('weaken',)",1
"('upPhiladelphia',)",1
"('pickups',)",1
"('emerging',)",1
"('paceCleveland',)",1
"('Retaining',)",1
"('increasingly',)",1
"('Product',)",1
"('diminished',)",1
"('slightlyRichmond',)",1
"('passed',)",1
"('dominatedAtlanta',)",1
"('productionChicago',)",1
"('slightlySt',)",1
"('midNovemberMinneapolis',)",1
"('closures',)",1
"('Winter',)",1
"('spotty',)",1
"('regionsKansas',)",1
"('weakDallas',)",1
"('solidSan',)",1
"('Francisco',)",1
"('strongSummary',)",1
"('contacted',)",1
"('median',)",1
"('partially',)",1
"('2017Employment',)",1
"('involving',)",1
"('associates',)",1
"('frontoffice',)",1
"('added',)",1
"('overseas',)",1
"('No',)",1
"('Among',)",1
"('accounting',)",1
"('ratesPrices',)",1
"('vendor',)",1
"('exceptional',)",1
"('olefins',)",1
"('driven',)",1
"('priceRetail',)",1
"('consulted',)",1
"('round',)",1
"('ranged',)",1
"('severe',)",1
"('Northeast',)",1
"('deterred',)",1
"('shoppers',)",1
"('footwear',)",1
"('outerwear',)",1
"('womens',)",1
"('outdoor',)",1
"('mens',)",1
"('childrens',)",1
"('digits',)",1
"('2017Boston',)",1
"('811',)",1
"('consecutive',)",1
"('room',)",1
"('Based',)",1
"('projections',)",1
"('similarly',)",1
"('feel',)",1
"('limiting',)",1
"('adverse',)",1
"('perceived',)",1
"('welcoming',)",1
"('country',)",1
"('Adding',)",1
"('Brexit',)",1
"('British',)",1
"('exchange',)",1
"('outcomes',)",1
"('upcoming',)",1
"('elections',)",1
"('European',)",1
"('creates',)",1
"('how',)",1
"('2017Manufacturing',)",1
"('Related',)",1
"('nine',)",1
"('versus',)",1
"('2016Although',)",1
"('Three',)",1
"('present',)",1
"('restrictions',)",1
"('H1B',)",1
"('visa',)",1
"('program',)",1
"('big',)",1
"('located',)",1
"('reluctant',)",1
"('commit',)",1
"('without',)",1
"('resolution',)",1
"('issue',)",1
"('risk',)",1
"('plateauing',)",1
"('lead',)",1
"('suppliersStaffing',)",1
"('England',)",1
"('Unlike',)",1
"('nonetheless',)",1
"('Facing',)",1
"('shortfalls',)",1
"('trying',)",1
"('ways',)",1
"('partnering',)",1
"('nonprofits',)",1
"('signon',)",1
"('social',)",1
"('media',)",1
"('presence',)",1
"('lost',)",1
"('freeze',)",1
"('what',)",1
"('happens',)",1
"('ObamacareCommercial',)",1
"('expects',)",1
"('fulfillment',)",1
"('broadly',)",1
"('buildtosuit',)",1
"('says',)",1
"('citys',)",1
"('fact',)",1
"('partly',)",1
"('longerterm',)",1
"('allotted',)",1
"('cite',)",1
"('restraining',)",1
"('Bostons',)",1
"('direction',)",1
"('Investment',)",1
"('cool',)",1
"('midmarket',)",1
"('malls',)",1
"('core',)",1
"('highend',)",1
"('fundamentals',)",1
"('2017Residential',)",1
"('Closed',)",1
"('Five',)",1
"('2015',)",1
"('Massachusetts',)",1
"('Hampshire',)",1
"('overwhelming',)",1
"('Record',)",1
"('numbers',)",1
"('Pending',)",1
"('strain',)",1
"('Inventory',)",1
"('regionMedian',)",1
"('give',)",1
"('freedom',)",1
"('should',)",1
"('2017For',)",1
"('wwwbostonfedorgregionaleconomySummary',)",1
"('Increases',)",1
"('Banks',)",1
"('retreated',)",1
"('modestlyEmployment',)",1
"('Hiring',)",1
"('upespecially',)",1
"('engaged',)",1
"('plan',)",1
"('add',)",1
"('netContacts',)",1
"('tech',)",1
"('firmsContacts',)",1
"('starting',)",1
"('salary',)",1
"('offers',)",1
"('highskill',)",1
"('assess',)",1
"('minimum',)",1
"('schedules',)",1
"('faced',)",1
"('challengesPrices',)",1
"('pricesgenerally',)",1
"('notably',)",1
"('tradeConsumer',)",1
"('attribute',)",1
"('unseasonably',)",1
"('disappointing',)",1
"('performance',)",1
"('satisfactory',)",1
"('term',)",1
"('works',)",1
"('DistrictAuto',)",1
"('Inventories',)",1
"('shapeConsumer',)",1
"('Middle',)",1
"('NY',)",1
"('NJ',)",1
"('PA',)",1
"('reaching',)",1
"('decadeManufacturing',)",1
"('Distribution',)",1
"('unfilled',)",1
"('conditionsServices',)",1
"('Servicesector',)",1
"('outlookparticularly',)",1
"('shown',)",1
"('Broadway',)",1
"('theaters',)",1
"('sharp',)",1
"('attendance',)",1
"('ratesReal',)",1
"('lag',)",1
"('landlords',)",1
"('generous',)",1
"('Apartment',)",1
"('Rental',)",1
"('steadyNew',)",1
"('coop',)",1
"('condo',)",1
"('subsided',)",1
"('unitsespecially',)",1
"('developmenthave',)",1
"('slip',)",1
"('newly',)",1
"('developed',)",1
"('Bidding',)",1
"('wars',)",1
"('subsidedElsewhere',)",1
"('suburbs',)",1
"('quite',)",1
"('Westchester',)",1
"('Long',)",1
"('extremely',)",1
"('inventoryCommercial',)",1
"('changedboth',)",1
"('Yorkand',)",1
"('asking',)",1
"('noticeablyNew',)",1
"('constructionboth',)",1
"('multifamilyhas',)",1
"('deal',)",1
"('progress',)",1
"('strongBanking',)",1
"('Small',)",1
"('CI',)",1
"('Spreads',)",1
"('spreads',)",1
"('ratesFor',)",1
"('wwwnewyorkfedorgdataandstatisticsregionaldatacenter',)",1
"('indexhtmlSummary',)",1
"('Aggregate',)",1
"('Notable',)",1
"('shifts',)",1
"('included',)",1
"('Four',)",1
"('nonauto',)",1
"('Existing',)",1
"('averageEmployment',)",1
"('length',)",1
"('indicators',)",1
"('fulltime',)",1
"('parttime',)",1
"('workersStaffing',)",1
"('themselves',)",1
"('busy',)",1
"('cases',)",1
"('immediately',)",1
"('lull',)",1
"('paceWage',)",1
"('tightness',)",1
"('periodPrices',)",1
"('decreases',)",1
"('evenly',)",1
"('balanced',)",1
"('nor',)",1
"('fear',)",1
"('Homebuilders',)",1
"('greatest',)",1
"('inputs',)",1
